# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 3.990228846669197083e-02 4.006407409906387329e-02 4.006407426574614544e-02
1.000000000000000000e+03 2.970979257952421904e-04 3.171237185597419739e-04 3.171237495021646973e-04
2.000000000000000000e+03 1.506669359514489770e-04 1.608794264029711485e-04 1.608794266594879615e-04
3.000000000000000000e+03 6.206266698427498341e-05 6.565068179043009877e-05 6.565069254450616809e-05
4.000000000000000000e+03 2.225167190772481263e-05 2.353628042328637093e-05 2.353628012572389646e-05
5.000000000000000000e+03 8.595591680204961449e-06 9.012088412418961525e-06 9.012087874006959571e-06
6.000000000000000000e+03 4.006937615486094728e-06 4.144632384850410745e-06 4.144632419040073191e-06
7.000000000000000000e+03 1.476470629313553218e-06 1.602843553882848937e-06 1.602843584893957145e-06
8.000000000000000000e+03 6.678807267235242762e-07 7.225538070088077802e-07 7.225538334884849619e-07
9.000000000000000000e+03 3.683588261083059479e-07 3.971431965510419104e-07 3.971431757803572641e-07
1.000000000000000000e+04 2.216321774994867155e-07 2.457906020936206914e-07 2.457905880416281172e-07
