Quad,Neuron,Layer,Flop,Error
1,2,2,56,0.6160277347130567
1,2,3,64,1.000000156745884
1,2,4,72,1.000069042880012
1,2,5,80,0.6209282386003027
1,3,2,90,1.0000024554397917
1,3,3,108,1.0000000742885737
1,3,4,126,0.6036764241770805
1,3,5,144,0.6221084443772076
1,5,2,170,0.616072607977375
1,5,3,220,0.6128310575783227
1,5,4,270,0.6175393079704575
1,5,5,320,0.6082167246180825
1,6,2,216,0.6266957430218527
1,6,3,288,0.6144781849604876
1,6,4,360,0.6077961205587504
1,6,5,432,0.5958065478487728
1,7,2,266,0.6076779460555088
1,7,3,364,0.6226644398864556
1,7,4,462,0.6031483431633426
1,7,5,560,0.6363383726717365
2,2,2,128,0.6237170963678423
2,2,3,136,1.0000002052608417
2,2,4,144,1.0003492434872454
2,2,5,152,1.000144569813886
2,3,2,198,0.6114797566059587
2,3,3,216,0.6029436771375069
2,3,4,234,0.5964670174072159
2,3,5,252,0.583632129997532
2,5,2,350,0.5925518477286221
2,5,3,400,0.5673269954866811
2,5,4,450,0.5592861735767876
2,5,5,500,0.5224255647044651
2,6,2,432,0.5651080588290129
2,6,3,504,0.5264071420125329
2,6,4,576,0.5218707140182386
2,6,5,648,0.551191203903748
2,7,2,518,0.6031250479297127
2,7,3,616,0.5500737120268963
2,7,4,714,0.5117232119524414
2,7,5,812,0.41568716997268496
3,2,2,368,1.0001169431656352
3,2,3,376,0.6002193521155801
3,2,4,384,1.0003838204280289
3,2,5,392,1.0003173863862485
3,3,2,558,0.6006965195087484
3,3,3,576,1.0000310398967194
3,3,4,594,0.5747894772324563
3,3,5,612,0.7381863179977782
3,5,2,950,0.5523024344654356
3,5,3,1000,0.4803126614278024
3,5,4,1050,0.3328205189386118
3,5,5,1100,0.3620023127250188
3,6,2,1152,0.4924732387453725
3,6,3,1224,0.3894083715515726
3,6,4,1296,0.33974737488354156
3,6,5,1368,0.2899912832949405
3,7,2,1358,0.4558682068465362
3,7,3,1456,0.33187921811869814
3,7,4,1554,0.3246345346242275
3,7,5,1652,0.32629960910208816
4,2,2,1232,0.11171582171049703
4,2,3,1240,0.09191487739399924
4,2,4,1248,0.0972901853085423
4,2,5,1256,1.0000389137023094
4,3,2,1854,0.08317626342539658
4,3,3,1872,0.0832416503675641
4,3,4,1890,1.000068238010477
4,3,5,1908,0.08305296025024154
4,5,2,3110,0.049805672685721974
4,5,3,3160,0.02130403925085951
4,5,4,3210,0.01740865079840927
4,5,5,3260,0.03403538002646449
4,6,2,3744,0.02323696057158688
4,6,3,3816,0.01368531422824835
4,6,4,3888,0.01551959245773566
4,6,5,3960,0.012284526181131046
4,7,2,4382,0.02432023285307844
4,7,3,4480,0.013262915623996034
4,7,4,4578,0.00970787830536592
4,7,5,4676,0.01182683664900445
5,2,2,4496,0.03048545921214
5,2,3,4504,1.0005368205358638
5,2,4,4512,0.0350853586511521
5,2,5,4520,0.043916364874482784
5,3,2,6750,0.015942488259840695
5,3,3,6768,0.02180626360835346
5,3,4,6786,0.01891301896246952
5,3,5,6804,0.013894544051179198
5,5,2,11270,0.005717539225055981
5,5,3,11320,0.007809357278245607
5,5,4,11370,0.0034247150528280237
5,5,5,11420,0.002463198098470921
5,6,2,13536,0.0017441242325391057
5,6,3,13608,0.003908572836431441
5,6,4,13680,0.003147340950422767
5,6,5,13752,0.002803889902075246
5,7,2,15806,0.004275263712903692
5,7,3,15904,0.0011221487193190417
5,7,4,16002,0.0015102472712859815
5,7,5,16100,0.0023844745401535214
6,2,2,17168,0.01516768677129827
6,2,3,17176,1.0001726684181227
6,2,4,17184,1.0000421829337764
6,2,5,17192,1.0000226723157402
6,3,2,25758,0.012231813791218314
6,3,3,25776,1.000007296756094
6,3,4,25794,0.005250185079326316
6,3,5,25812,0.03791150117741847
6,5,2,42950,0.002042918609581163
6,5,3,43000,0.0015525089216853146
6,5,4,43050,0.0013766565110218398
6,5,5,43100,0.0007257368966853276
6,6,2,51552,0.0014189664992182048
6,6,3,51624,1.0000902597810384
6,6,4,51696,0.000705843646612103
6,6,5,51768,0.0009290344323110207
6,7,2,60158,0.001148764310440534
6,7,3,60256,0.0005978276953364679
6,7,4,60354,1.0006639089788343
6,7,5,60452,0.0004605994655248025
7,2,2,67088,0.00867805402245734
7,2,3,67096,0.01223834586211919
7,2,4,67104,0.00724021271013004
7,2,5,67112,0.003939110035909822
7,3,2,100638,1.000006830060962
7,3,3,100656,0.003668431926383351
7,3,4,100674,1.0000358024359086
7,3,5,100692,0.016190860289529544
7,5,2,167750,0.0003545254272607598
7,5,3,167800,0.0006628524433130788
7,5,4,167850,0.0004434613331754487
7,5,5,167900,0.0003923189970264028
7,6,2,201312,0.0004335745414827184
7,6,3,201384,0.0004091594395971013
7,6,4,201456,0.0002844397488643186
7,6,5,201528,0.0007385797264425721
7,7,2,234878,0.00031652580694475267
7,7,3,234976,0.000623512028040737
7,7,4,235074,0.0004022305375991989
7,7,5,235172,0.0004419316108691684
8,2,2,265232,1.0000300728028617
8,2,3,265240,0.0024371957962760135
8,2,4,265248,1.0000212249409106
8,2,5,265256,1.0000063081357085
8,3,2,397854,0.005218564028443615
8,3,3,397872,0.0008671001867123241
8,3,4,397890,0.0012260117890424479
8,3,5,397908,0.0026145079728503453
8,5,2,663110,0.0005413759261557085
8,5,3,663160,0.0001813639203655741
8,5,4,663210,0.00031067343840929967
8,5,5,663260,0.0011542740734155513
8,6,2,795744,0.0002789914237994058
8,6,3,795816,0.00018306422370816124
8,6,4,795888,0.00011068781453670487
8,6,5,795960,0.00015764673114610845
