Quad,Neuron,Layer,Flop,Error
1,2,2,56,0.9969777491441644
1,2,3,64,0.9963800367792007
1,2,4,72,1.0001759904970442
1,2,5,80,1.000374664318523
1,3,2,90,1.000172631555258
1,3,3,108,1.0000392737463548
1,3,4,126,1.0023888382598496
1,3,5,144,1.0001842909245053
1,5,2,170,1.0001249156315706
1,5,3,220,1.002269061264289
1,5,4,270,0.9333042332980703
1,5,5,320,1.0005921709209729
1,6,2,216,1.0503552564225027
1,6,3,288,0.6107518692219911
1,6,4,360,0.996117774844742
1,6,5,432,0.9978565960866945
1,7,2,266,0.9983983508938165
1,7,3,364,0.9990754137203135
1,7,4,462,0.523904924453267
1,7,5,560,0.997851681638079
2,2,2,128,0.8731976028311906
2,2,3,136,1.0000099722077676
2,2,4,144,0.8849100377513945
2,2,5,152,1.239253733749573
2,3,2,198,0.8966319384673155
2,3,3,216,1.0000510989117743
2,3,4,234,1.0001179301991026
2,3,5,252,1.0000077859534715
2,5,2,350,0.6415335290983725
2,5,3,400,0.505292365988221
2,5,4,450,0.8937659019596408
2,5,5,500,0.8776667844359394
2,6,2,432,1.3241846051801136
2,6,3,504,0.8721577950272804
2,6,4,576,0.22094453826665414
2,6,5,648,0.7897532449905249
2,7,2,518,0.8683787637527608
2,7,3,616,0.9188504828472043
2,7,4,714,1.000061767042626
2,7,5,812,0.4369185963991012
3,2,2,368,1.000168110385621
3,2,3,376,0.8956030270276637
3,2,4,384,1.0004430080253608
3,2,5,392,1.000335495139081
3,3,2,558,0.9728380395008034
3,3,3,576,0.449639375208709
3,3,4,594,1.0001727999147036
3,3,5,612,0.47968068717232265
3,5,2,950,0.562961938209853
3,5,3,1000,0.8580993318804598
3,5,4,1050,0.2948257882909057
3,5,5,1100,0.22273896188228703
3,6,2,1152,0.8719119528927551
3,6,3,1224,0.865196432593103
3,6,4,1296,0.3641334433493506
3,6,5,1368,0.7044063825381447
3,7,2,1358,0.9647946409498881
3,7,3,1456,0.4196728923292303
3,7,4,1554,0.05257664461647489
3,7,5,1652,0.878862954033642
4,2,2,1232,0.41461427379120036
4,2,3,1240,0.41436188428008885
4,2,4,1248,1.0005060687807985
4,2,5,1256,0.13210090082188078
4,3,2,1854,0.4568540948552101
4,3,3,1872,1.0000538369386236
4,3,4,1890,0.12312444458860465
4,3,5,1908,0.21982250770693387
4,5,2,3110,0.42537401005076664
4,5,3,3160,0.8281056713971175
4,5,4,3210,0.0016338138647761014
4,5,5,3260,0.0013242085587384458
4,6,2,3744,0.4436095621586906
4,6,3,3816,0.010790672411951386
4,6,4,3888,0.06290961711879284
4,6,5,3960,0.04065038503098428
4,7,2,4382,0.34132508014642526
4,7,3,4480,0.0524569373804562
4,7,4,4578,0.029480813831330627
4,7,5,4676,0.0008568689296451222
5,2,2,4496,1.0003085736637625
5,2,3,4504,0.011139965602958393
5,2,4,4512,1.0000967861742822
5,2,5,4520,1.0001423991642482
5,3,2,6750,0.892510901706539
5,3,3,6768,1.0001471448125343
5,3,4,6786,0.0026067714681592934
5,3,5,6804,0.14394006400182446
5,5,2,11270,0.01062796586532499
5,5,3,11320,0.05414249783824016
5,5,4,11370,1.0001020974444688
5,5,5,11420,0.000502263559260287
5,6,2,13536,1.0005470795648053
5,6,3,13608,0.0006269303246941627
5,6,4,13680,0.004909086455069162
5,6,5,13752,0.0005315318892349052
5,7,2,15806,0.08431124537531531
5,7,3,15904,0.0018985050973063312
5,7,4,16002,1.0001304070494217
5,7,5,16100,0.018445248876440837
6,2,2,17168,0.7688966600047566
6,2,3,17176,0.00010891318894801345
6,2,4,17184,1.00000030568239
6,2,5,17192,1.0000147658113503
6,3,2,25758,0.0004523782474381009
6,3,3,25776,0.07730350437981258
6,3,4,25794,0.0001932323702845231
6,3,5,25812,0.0007523979562839762
6,5,2,42950,0.001579914404301473
6,5,3,43000,1.001894952260384
6,5,4,43050,0.08643813005286695
6,5,5,43100,8.46621305875479e-05
6,6,2,51552,0.010860227482722118
6,6,3,51624,0.0164950384490425
6,6,4,51696,1.0000074056956578
6,6,5,51768,0.03842406560564723
6,7,2,60158,0.0043681602970164326
6,7,3,60256,6.573858235632629e-05
6,7,4,60354,0.00025602207361013937
6,7,5,60452,0.0004956296966432033
7,2,2,67088,0.0007183649503870085
7,2,3,67096,1.000003947797641
7,2,4,67104,0.0036622496599536796
7,2,5,67112,1.0000601269143283
7,3,2,100638,1.0001247943101126
7,3,3,100656,1.0000584369992112
7,3,4,100674,0.0003177317835136916
7,3,5,100692,1.0001274554272084
7,5,2,167750,0.00010775184639098234
