Quad,Neuron,Layer,Flop,Error
1,2,2,56,0.8394221998272091
1,2,3,64,0.7372521499809104
1,2,4,72,0.9327977361472808
1,2,5,80,0.9787154045384535
1,3,2,90,0.28706637188770534
1,3,3,108,0.9782731721070568
1,3,4,126,0.12716545792699585
1,3,5,144,0.11587880476413955
1,5,2,170,1.0001057577572832
1,5,3,220,0.017720748379476077
1,5,4,270,0.017798809962502115
1,5,5,320,1.0000986177579998
1,6,2,216,0.028439241616480572
1,6,3,288,0.023628043445760825
1,6,4,360,0.008828831266501498
1,6,5,432,0.012893913835791897
1,7,2,266,0.2531149467165222
1,7,3,364,0.018014161341351004
1,7,4,462,0.013200795327979525
1,7,5,560,0.006518560336322729
2,2,2,128,1.0007559313465093
2,2,3,136,0.6808873562049397
2,2,4,144,0.6461981154520637
2,2,5,152,1.0001755148203535
2,3,2,198,0.4721395029866376
2,3,3,216,0.3166028183461977
2,3,4,234,0.26344990618775344
2,3,5,252,0.20899289770984716
2,5,2,350,0.16719897131758835
2,5,3,400,0.029808374890945507
2,5,4,450,0.1758416301545057
2,5,5,500,0.040247031596877245
2,6,2,432,1.000114103041766
2,6,3,504,0.02288490745294657
2,6,4,576,0.014546669224663062
2,6,5,648,0.011588488538567952
2,7,2,518,0.027846348812712824
2,7,3,616,0.011097807490483317
2,7,4,714,0.01629351207184152
2,7,5,812,0.013334884445955549
3,2,2,368,0.858947415025133
3,2,3,376,0.8323563811406454
3,2,4,384,0.6264498341111813
3,2,5,392,0.7802094094440979
3,3,2,558,0.6761973537811707
3,3,3,576,0.3559464024130971
3,3,4,594,0.21144179769421373
3,3,5,612,0.1974810928768129
3,5,2,950,0.16852488346966724
3,5,3,1000,0.05230439561059135
3,5,4,1050,0.1469848381289596
3,5,5,1100,0.11004406943476544
3,6,2,1152,0.03155798749556918
3,6,3,1224,0.06136538057074496
3,6,4,1296,1.0002080178820825
3,6,5,1368,0.012981109664122928
3,7,2,1358,0.044713425806475984
3,7,3,1456,0.035504725865101026
3,7,4,1554,0.01629140547762106
3,7,5,1652,0.003588106153106048
4,2,2,1232,0.3765950458302772
4,2,3,1240,0.5148079855765092
4,2,4,1248,1.000330429450518
4,2,5,1256,1.0000020053165213
4,3,2,1854,0.38084981219702485
4,3,3,1872,0.59827600359606
4,3,4,1890,1.000009342494074
4,3,5,1908,0.38666004686278477
4,5,2,3110,0.09570311830457229
4,5,3,3160,0.045920910104468346
4,5,4,3210,0.026000689870685566
4,5,5,3260,0.08035861183191792
4,6,2,3744,0.03603540772107572
4,6,3,3816,0.03557281298868744
4,6,4,3888,0.008578473812097625
4,6,5,3960,0.06700385169578123
4,7,2,4382,0.01445624293161665
4,7,3,4480,0.011901867778794664
4,7,4,4578,0.006203211080042853
4,7,5,4676,0.007173554365591562
5,2,2,4496,0.015941744686764823
5,2,3,4504,0.005168478289858711
5,2,4,4512,0.0027147893795381834
5,2,5,4520,0.003553646033868018
5,3,2,6750,0.0039025127082734706
5,3,3,6768,1.000099520461546
5,3,4,6786,0.0016389707863584287
5,3,5,6804,0.0013501122848808595
5,5,2,11270,0.0019689793691286097
5,5,3,11320,0.000464866707559907
5,5,4,11370,0.0006102217700831855
5,5,5,11420,0.0005384524768375361
5,6,2,13536,0.0005568512673869797
5,6,3,13608,0.0003990707867760921
5,6,4,13680,0.0005604055439068675
5,6,5,13752,0.00027774361658445613
5,7,2,15806,0.0003544731144785979
5,7,3,15904,0.0002812304037784038
5,7,4,16002,0.0005442053291041817
5,7,5,16100,0.0006012785180902379
6,2,2,17168,0.0012202736410406446
6,2,3,17176,1.0005457008724215
6,2,4,17184,0.0026066179373512148
6,2,5,17192,1.0000000974997898
6,3,2,25758,0.0012423339880381662
6,3,3,25776,0.0007176904046691789
6,3,4,25794,0.0007244748616517231
6,3,5,25812,0.0003299994299905665
6,5,2,42950,0.0010914497564740373
6,5,3,43000,0.00034837381180697697
6,5,4,43050,0.0007665664110772141
6,5,5,43100,0.00044131558167176865
6,6,2,51552,0.0005733123518730462
6,6,3,51624,0.0004714129464545367
6,6,4,51696,0.000521379710699656
6,6,5,51768,0.00024926828793003574
6,7,2,60158,0.00044742769677260123
6,7,3,60256,0.0002003888679996337
6,7,4,60354,0.0001336545171452382
6,7,5,60452,0.00015109120831764092
7,2,2,67088,1.0001899485827732
7,2,3,67096,1.6956589499733148e-05
7,2,4,67104,1.0000015350017246
7,2,5,67112,1.000039225767774
7,3,2,100638,0.0010512629115697514
7,3,3,100656,0.00014676028246516412
7,3,4,100674,0.0012826870424812618
7,3,5,100692,0.00021332377043658843
7,5,2,167750,0.0005385156327408177
7,5,3,167800,0.00035541026185574674
7,5,4,167850,0.00036098832284856973
7,5,5,167900,0.0004180107231851755
7,6,2,201312,0.0003583061473942199
7,6,3,201384,0.00022749918541347533
7,6,4,201456,0.0002907491148294203
7,6,5,201528,0.000353333827296733
7,7,2,234878,0.0002617512225922428
7,7,3,234976,0.00015063816847090764
7,7,4,235074,9.826037481971645e-05
7,7,5,235172,0.00018114295906083663
8,2,2,265232,1.7644855662990233e-05
8,2,3,265240,3.0279632898220532e-05
8,2,4,265248,1.441837103825095e-05
8,2,5,265256,1.0000870257691339
8,3,2,397854,0.00014472779998138074
8,3,3,397872,0.0005728050391660272
8,3,4,397890,0.0007204105225921046
8,3,5,397908,0.0002303522787640072
8,5,2,663110,0.0004054370146668961
8,5,3,663160,0.0008645072881883523
8,5,4,663210,0.0002702673345672851
8,5,5,663260,0.00015173651360717052
8,6,2,795744,0.0002547458611115999
8,6,3,795816,0.00011028466947854278
8,6,4,795888,0.00015862918738258452
8,6,5,795960,0.00013530307711722935
8,7,2,928382,0.00010739524602084623
8,7,3,928480,0.00015857885390789235
8,7,4,928578,9.360716658335501e-05
8,7,5,928676,0.00015309203008016426
9,2,2,1054736,0.0005848056273038258
9,2,3,1054744,1.0089854501353478e-05
9,2,4,1054752,1.0000150477214713
9,2,5,1054760,2.5122104497223735e-05
9,3,2,1582110,6.765711649505436e-05
9,3,3,1582128,0.00021454045970703266
9,3,4,1582146,0.00024982063799275177
9,3,5,1582164,1.000413620465149
9,5,2,2636870,0.00041754669303864283
9,5,3,2636920,0.00020092133093676146
9,5,4,2636970,0.00044306931567510014
9,5,5,2637020,1.0000122959983189
9,6,2,3164256,0.00010304773336947575
9,6,3,3164328,0.0002377902486025405
9,6,4,3164400,0.0002398759222622255
9,6,5,3164472,0.0002132859875820152
9,7,2,3691646,6.560215176959845e-05
9,7,3,3691744,0.00021285275425902246
9,7,4,3691842,9.079199664834189e-05
9,7,5,3691940,0.00021580469944437454
10,2,2,4206608,1.0003482058692557
10,2,3,4206616,0.0001772934241161039
10,2,4,4206624,0.00024196779636361646
10,2,5,4206632,1.000072557232317
10,3,2,6309918,9.729055073186902e-05
10,3,3,6309936,7.309130269440082e-05
10,3,4,6309954,0.0002668060804962104
10,3,5,6309972,2.7586158169757575e-05
10,5,2,10516550,0.00011070887275154925
10,5,3,10516600,0.00039642328819313664
10,5,4,10516650,0.00010306055372998928
10,5,5,10516700,0.000248556472988237
10,6,2,12619872,0.00047278491495706857
10,6,3,12619944,0.00013012330803046585
10,6,4,12620016,0.0004909831559342217
10,6,5,12620088,0.00010849320049887879
10,7,2,14723198,7.354893917645173e-05
10,7,3,14723296,0.00016528412129175084
10,7,4,14723394,6.917659686963296e-05
10,7,5,14723492,0.00026885319728501704
